date,dengue,dengue fever,bone pain,rain,mosquito bite,fever,rashes,rash,mosquito
2020-05-31,51,57,27,46,34,34,64,88,77
2020-06-07,63,75,91,40,39,36,61,80,85
2020-06-14,78,76,41,49,41,41,68,70,89
2020-06-21,85,82,51,60,46,38,77,78,100
2020-06-28,72,79,89,36,45,37,71,84,99
2020-07-05,67,67,59,48,11,37,80,71,79
2020-07-12,77,84,60,49,100,41,95,80,86
2020-07-19,100,100,65,45,70,38,69,92,91
2020-07-26,76,93,40,53,38,37,97,71,88
2020-08-02,81,95,44,35,42,40,76,80,78
2020-08-09,68,79,79,55,53,32,84,100,77
2020-08-16,59,63,59,52,39,33,65,81,67
2020-08-23,55,49,42,49,29,32,83,87,63
2020-08-30,47,35,0,45,10,26,100,73,59
2020-09-06,40,32,35,46,25,27,60,74,47
2020-09-13,34,29,50,58,33,28,65,54,58
2020-09-20,34,37,57,49,44,34,58,79,39
2020-09-27,33,28,0,42,12,32,71,75,48
2020-10-04,23,29,61,42,22,30,72,72,47
2020-10-11,28,24,45,37,44,25,79,77,47
2020-10-18,24,9,38,42,0,27,58,72,43
2020-10-25,21,19,14,43,20,25,57,79,45
2020-11-01,17,21,56,56,0,22,51,56,26
2020-11-08,18,15,41,43,32,24,60,79,40
2020-11-15,20,20,75,55,22,25,54,73,34
2020-11-22,16,13,25,59,32,27,42,73,37
2020-11-29,12,16,62,43,15,26,58,53,39
2020-12-06,10,14,51,50,19,23,70,80,46
2020-12-13,11,10,42,51,19,23,42,67,34
2020-12-20,10,15,40,48,19,22,69,96,34
2020-12-27,8,7,86,100,29,23,84,77,34
2018-12-30,26,27,26,51,38,77,65,77,46
2019-01-06,38,49,28,51,33,73,66,81,37
2019-01-13,34,40,33,51,60,71,68,87,58
2019-01-20,39,33,46,39,0,65,66,66,43
2019-01-27,36,34,49,36,43,69,63,77,58
2019-02-03,33,57,0,43,18,64,67,78,51
2019-02-10,49,63,50,33,41,66,63,81,66
2019-02-17,36,29,0,38,24,70,70,63,71
2019-02-24,30,34,35,38,30,69,52,61,64
2019-03-03,31,32,35,37,63,66,90,72,78
2019-03-10,25,33,0,44,33,64,87,77,54
2019-03-17,31,37,62,51,0,63,36,72,46
2019-03-24,21,12,0,57,17,58,80,75,52
2019-03-31,25,26,33,63,45,60,70,43,55
2019-04-07,33,22,23,56,51,71,76,65,65
2019-04-14,30,8,0,68,46,51,57,78,67
2019-04-21,28,34,15,65,61,57,38,73,77
2019-04-28,35,33,19,64,40,71,50,72,65
2019-05-05,34,52,78,61,34,81,55,82,73
2019-05-12,36,43,59,55,36,65,44,63,77
2019-05-19,36,49,15,52,80,66,56,57,65
2019-05-26,64,57,38,48,62,88,70,73,65
2019-06-02,45,29,29,73,23,76,49,68,76
2019-06-09,44,40,15,54,0,77,65,86,86
2019-06-16,82,89,39,60,81,88,100,76,83
2019-06-23,81,98,73,46,71,96,81,64,77
2019-06-30,67,68,20,50,56,100,97,66,66
2019-07-07,80,90,39,47,88,88,84,100,59
2019-07-14,84,81,54,46,100,93,60,78,81
2019-07-21,77,82,38,52,49,86,56,75,76
2019-07-28,100,76,24,35,67,88,67,81,87
2019-08-04,99,74,17,50,81,78,73,73,100
2019-08-11,88,100,0,58,77,85,73,70,64
2019-08-18,78,84,100,50,37,91,92,82,72
2019-08-25,59,64,59,66,55,67,78,78,85
2019-09-01,56,60,35,50,22,64,77,69,58
2019-09-08,58,60,54,42,64,65,64,67,84
2019-09-15,63,52,79,39,34,66,78,70,73
2019-09-22,45,36,70,68,46,59,82,79,88
2019-09-29,39,45,57,65,56,61,58,66,59
2019-10-06,39,33,50,60,0,69,68,93,77
2019-10-13,46,60,54,49,46,72,64,66,70
2019-10-20,41,43,15,75,0,64,73,77,64
2019-10-27,37,15,57,65,87,65,67,64,67
2019-11-03,50,51,30,42,0,77,73,71,80
2019-11-10,58,38,0,52,51,79,58,76,73
2019-11-17,61,58,50,54,29,73,60,66,51
2019-11-24,56,51,0,64,23,66,62,69,66
2019-12-01,37,43,31,62,20,67,59,60,60
2019-12-08,39,37,33,100,15,85,70,75,63
2019-12-15,37,46,26,79,69,87,76,69,78
2019-12-22,48,63,28,53,60,94,76,74,62
2017-12-31,29,28,26,77,0,79,60,70,43
2018-01-07,38,51,0,100,42,85,47,87,56
2018-01-14,26,37,43,58,65,97,90,90,55
2018-01-21,40,48,41,56,14,100,56,98,62
2018-01-28,23,44,19,59,0,92,72,68,15
2018-02-04,14,39,0,33,32,88,69,73,66
2018-02-11,26,27,76,37,28,88,74,84,50
2018-02-18,33,0,34,42,0,87,100,71,72
2018-02-25,23,11,15,41,24,79,77,66,66
2018-03-04,28,56,100,46,17,75,48,79,62
2018-03-11,33,21,51,45,0,79,34,96,73
2018-03-18,35,40,40,44,30,81,60,77,52
2018-03-25,28,54,60,68,65,83,70,78,72
