date,dengue,dengue fever,bone pain,rain,mosquito bite,fever,rashes,rash,mosquito
2012-08-05,49,52,62,42,81,65,78,70,62
2012-08-12,70,52,47,34,0,92,63,58,86
2012-08-19,44,50,0,46,0,96,26,57,95
2012-08-26,42,0,21,44,0,86,53,100,78
2012-09-02,56,67,0,47,0,55,51,73,85
2012-09-09,55,27,28,35,0,58,78,72,64
2012-09-16,54,61,0,36,24,79,64,65,83
2012-09-23,51,22,22,44,0,80,94,87,70
2012-09-30,53,57,43,48,0,85,68,72,39
2012-10-07,33,34,0,43,35,81,92,57,55
2012-10-14,55,67,21,48,0,89,60,68,57
2012-10-21,59,58,51,40,0,68,61,86,72
2012-10-28,44,61,0,41,0,86,94,85,50
2012-11-04,66,100,21,42,0,85,78,29,61
2012-11-11,59,59,54,44,39,87,69,93,57
2012-11-18,17,14,46,46,0,79,55,69,73
2012-11-25,60,63,45,36,0,89,42,71,84
2012-12-02,32,33,0,49,0,94,49,65,67
2012-12-09,59,60,87,47,0,86,90,76,50
2012-12-16,49,63,36,57,51,86,55,62,61
2012-12-23,34,28,39,42,36,90,59,100,71
