year,week,cases
2020,38,671
2020,39,591
2020,40,605
2020,41,529
2020,42,592
2020,43,565
2020,44,440
2020,45,408
2020,46,355
2020,47,258
2020,48,279
2020,49,228
2020,50,227
2020,51,236
2020,52,196
2020,53,194
2021,1,194
2021,2,166
2021,3,152
2021,4,135
2021,5,141
2021,6,143
2021,7,148
2021,8,146
2021,9,140
2021,10,145
2021,11,129
2021,12,120
2021,13,113
2021,14,102
2021,15,112
2021,16,129
2021,17,84
2021,18,117
2021,19,92
2021,20,119
2021,21,130
2021,22,118
2021,23,137
2021,24,135
2021,25,127
2021,26,112
2021,27,104
2021,28,75
2021,29,80
2021,30,82
2021,31,70
2021,32,81
2021,33,56
2021,34,53
2021,35,46
2021,36,61
2021,37,74
2021,38,110
2021,39,105
2021,40,104
2021,41,85
2021,42,76
2021,43,75
2021,44,59
2021,45,42
2021,46,56
2021,47,63
2021,48,48
2021,49,65
2021,50,61
2021,51,68
2021,52,79
2022,1,106
2022,2,146
2022,3,180
2022,4,171
2022,5,154
2022,6,169
2022,7,206
2022,8,201
2022,9,263
2022,10,369
2022,11,421
2022,12,441
2022,13,510
2022,14,643
2022,15,734
2022,16,942
2022,17,1003
2022,18,846
2022,19,1315
2022,20,1276
2022,21,1567
2022,22,1454
2022,23,1460
2022,24,1254
2022,25,1172
2022,26,1187
2022,27,1164
2022,28,918
2022,29,1036
2022,30,1092
2022,31,896
2022,32,879
2022,33,679
2022,34,662
2022,35,581
2022,36,570
2022,37,544
2022,38,472
2022,39,426
2022,40,397
2022,41,376
2022,42,373
2022,43,314
2022,44,318
2022,45,294
2022,46,315
2022,47,265
2022,48,242
2022,49,327
2022,50,290
2022,51,270
2022,52,285
