year,week,dengue_fever,dengue,bone_pain,rain,mosquito_bite,fever,rashes,rash,mosquito
2020,33,63,59,59,52,39,33,65,81,67
2020,34,49,55,42,49,29,32,83,87,63
2020,35,35,47,0,45,10,26,100,73,59
2020,36,32,40,35,46,25,27,60,74,47
2020,37,29,34,50,58,33,28,65,54,58
2020,38,37,34,57,49,44,34,58,79,39
2020,39,28,33,0,42,12,32,71,75,48
2020,40,29,23,61,42,22,30,72,72,47
2020,41,24,28,45,37,44,25,79,77,47
2020,42,9,24,38,42,0,27,58,72,43
2020,43,19,21,14,43,20,25,57,79,45
2020,44,21,17,56,56,0,22,51,56,26
2020,45,15,18,41,43,32,24,60,79,40
2020,46,20,20,75,55,22,25,54,73,34
2020,47,13,16,25,59,32,27,42,73,37
2020,48,16,12,62,43,15,26,58,53,39
2020,49,14,10,51,50,19,23,70,80,46
2020,50,10,11,42,51,19,23,42,67,34
2020,51,15,10,40,48,19,22,69,96,34
2020,52,7,8,86,100,29,23,84,77,34
2018,1,27,26,26,51,38,77,65,77,46
2019,2,49,38,28,51,33,73,66,81,37
2019,3,40,34,33,51,60,71,68,87,58
2019,4,33,39,46,39,0,65,66,66,43
2019,5,34,36,49,36,43,69,63,77,58
2019,6,57,33,0,43,18,64,67,78,51
2019,7,63,49,50,33,41,66,63,81,66
2019,8,29,36,0,38,24,70,70,63,71
2019,9,34,30,35,38,30,69,52,61,64
2019,10,32,31,35,37,63,66,90,72,78
2019,11,33,25,0,44,33,64,87,77,54
2019,12,37,31,62,51,0,63,36,72,46
2019,13,12,21,0,57,17,58,80,75,52
2019,14,26,25,33,63,45,60,70,43,55
2019,15,22,33,23,56,51,71,76,65,65
2019,16,8,30,0,68,46,51,57,78,67
2019,17,34,28,15,65,61,57,38,73,77
2019,18,33,35,19,64,40,71,50,72,65
2019,19,52,34,78,61,34,81,55,82,73
2019,20,43,36,59,55,36,65,44,63,77
2019,21,49,36,15,52,80,66,56,57,65
2019,22,57,64,38,48,62,88,70,73,65
2019,23,29,45,29,73,23,76,49,68,76
2019,24,40,44,15,54,0,77,65,86,86
2019,25,89,82,39,60,81,88,100,76,83
2019,26,98,81,73,46,71,96,81,64,77
2019,27,68,67,20,50,56,100,97,66,66
2019,28,90,80,39,47,88,88,84,100,59
2019,29,81,84,54,46,100,93,60,78,81
2019,30,82,77,38,52,49,86,56,75,76
2019,31,76,100,24,35,67,88,67,81,87
2019,32,74,99,17,50,81,78,73,73,100
2019,33,100,88,0,58,77,85,73,70,64
2019,34,84,78,100,50,37,91,92,82,72
2019,35,64,59,59,66,55,67,78,78,85
2019,36,60,56,35,50,22,64,77,69,58
2019,37,60,58,54,42,64,65,64,67,84
2019,38,52,63,79,39,34,66,78,70,73
2019,39,36,45,70,68,46,59,82,79,88
2019,40,45,39,57,65,56,61,58,66,59
2019,41,33,39,50,60,0,69,68,93,77
2019,42,60,46,54,49,46,72,64,66,70
2019,43,43,41,15,75,0,64,73,77,64
2019,44,15,37,57,65,87,65,67,64,67
2019,45,51,50,30,42,0,77,73,71,80
2019,46,38,58,0,52,51,79,58,76,73
2019,47,58,61,50,54,29,73,60,66,51
2019,48,51,56,0,64,23,66,62,69,66
2019,49,43,37,31,62,20,67,59,60,60
2019,50,37,39,33,100,15,85,70,75,63
2019,51,46,37,26,79,69,87,76,69,78
2019,52,63,48,28,53,60,94,76,74,62
2017,1,28,29,26,77,0,79,60,70,43
2018,2,51,38,0,100,42,85,47,87,56
2018,3,37,26,43,58,65,97,90,90,55
2018,4,48,40,41,56,14,100,56,98,62
2018,5,44,23,19,59,0,92,72,68,15
2018,6,39,14,0,33,32,88,69,73,66
2018,7,27,26,76,37,28,88,74,84,50
2018,8,0,33,34,42,0,87,100,71,72
2018,9,11,23,15,41,24,79,77,66,66
2018,10,56,28,100,46,17,75,48,79,62
2018,11,21,33,51,45,0,79,34,96,73
2018,12,40,35,40,44,30,81,60,77,52
2018,13,54,28,60,68,65,83,70,78,72
2018,14,50,26,30,56,38,74,44,79,73
2018,15,37,27,54,51,77,66,67,80,79
2018,16,26,16,42,76,37,70,66,82,65
2018,17,25,24,97,74,0,67,83,94,72
2018,18,50,54,55,78,46,70,80,76,62
2018,19,100,100,50,64,60,83,55,72,94
2018,20,42,43,33,73,100,71,45,93,69
2018,21,43,62,0,72,43,75,74,64,68
2018,22,30,39,41,74,27,65,52,70,82
2018,23,33,43,14,46,71,68,79,94,80
2018,24,48,51,0,56,30,74,70,85,59
2018,25,28,25,85,55,0,78,75,79,65
2018,26,23,35,60,57,0,72,78,79,86
2018,27,48,41,46,55,0,78,69,90,73
2018,28,27,36,69,51,40,81,87,81,62
2018,29,38,31,25,47,69,74,69,67,70
2018,30,25,38,36,41,38,81,58,74,54
2018,31,60,34,46,51,75,79,71,73,78
2018,32,40,34,76,46,54,75,55,79,84
2018,33,46,30,40,44,32,74,80,94,49
2018,34,28,30,34,54,39,65,35,78,61
2018,35,31,24,47,41,0,58,45,66,53
2018,36,31,29,0,66,26,60,69,79,57
2018,37,17,28,35,48,22,62,76,70,50
2018,38,29,37,42,64,34,65,46,66,56
2018,39,39,37,50,35,0,66,51,74,55
2018,40,29,29,64,41,30,64,53,77,62
2018,41,22,24,22,67,18,74,51,66,47
2018,42,33,36,50,50,60,61,74,49,59
2018,43,29,28,36,46,20,73,82,79,61
2018,44,18,32,42,60,0,65,57,61,58
2018,45,38,29,36,57,75,76,88,84,53
2018,46,0,36,18,58,0,83,79,59,78
2018,47,29,33,56,59,0,88,58,90,66
2018,48,63,55,37,45,40,84,56,80,100
2018,49,15,55,39,49,17,82,63,76,84
2018,50,0,40,54,52,29,73,58,100,71
2018,51,37,48,25,44,36,87,67,70,74
2018,52,36,32,33,38,40,91,65,65,44
2017,2,76,81,52,47,79,80,63,64,72
2017,3,72,71,19,39,61,67,71,61,39
2017,4,66,74,58,100,34,74,61,76,60
2017,5,83,57,30,81,55,61,75,83,53
2017,6,58,77,0,38,37,78,78,88,56
2017,7,98,79,34,48,0,75,68,63,56
2017,8,29,47,45,52,0,82,71,52,58
2017,9,49,49,48,47,44,77,66,60,81
2017,10,27,68,41,52,60,66,11,99,59
